Hotel_Name,City,  Price  ,Rating,Amenities
The Leela Inn Mumbai,Mumbai,4526,3.8,"Conference Hall, Pool, Bar, Wifi"
Taj Suites Pune,Pune,8585,4.3,"Conference Hall, Spa, Bar, Pool"
Courtyard Inn Ahmedabad,Ahmedabad,9862,4.8,"Bar, Restaurant, Parking, Pool, Breakfast"
Trident Grand Pune,Pune,10000,3.6,"Breakfast, Parking, Wifi, Restaurant, Spa, Conference Hall"
The Leela Grand Chennai,Chennai,45000,3.9,"Breakfast, Spa, Pool, Wifi, Restaurant, Airport Shuttle"
Westin Suites Pune,Pune,23000,3.7,"Airport Shuttle, Restaurant, Gym, Breakfast, Bar, Pool"
Vivanta Royal Pune,Pune,21000,3.8,"Gym, Airport Shuttle, Bar, Breakfast, Restaurant"
Fortune Resort Delhi,Delhi,14000,4.7,"Spa, Wifi, Restaurant, Breakfast"
Vivanta Suites Pune,Pune,14500,4.9,"Spa, Airport Shuttle, Bar, Restaurant, Breakfast, Pool"
Vivanta Suites Goa,Goa,4175,4.3,"Breakfast, Bar, Conference Hall, Gym, Pool, Restaurant"
Ramada Grand Jaipur,Jaipur,8101,3.6,"Gym, Breakfast, Bar, Parking"
ITC Plaza Chennai,Chennai,4175,5,"Conference Hall, Wifi, Pool, Restaurant, Parking, Gym"
Trident Inn Pune,Pune,4542,3.7,"Parking, Conference Hall, Gym, Breakfast"
The Leela Elite Bengaluru,Bengaluru,6575,3.8,"Gym, Conference Hall, Wifi, Parking, Breakfast, Spa"
Taj Resort Pune,Pune,4869,5,"Spa, Wifi, Breakfast, Parking, Conference Hall, Restaurant"
Conrad Elite Pune,Pune,7524,3.7,"Conference Hall, Gym, Parking, Airport Shuttle, Bar, Spa, Pool"
Fortune Inn Delhi,Delhi,8101,5,"Airport Shuttle, Conference Hall, Breakfast, Wifi, Pool, Restaurant"
ITC Palace Hyderabad,Hyderabad,4175,4.3,"Wifi, Pool, Breakfast, Conference Hall, Airport Shuttle"
The Orchid Grand Hyderabad,Hyderabad,2541,3.9,"Spa, Conference Hall, Gym, Restaurant, Parking, Bar, Breakfast"
Novotel Plaza Jaipur,Jaipur,6541,3.6,"Restaurant, Bar, Conference Hall, Spa, Breakfast, Wifi, Parking"
The Orchid Resort Chennai,Chennai,1258,4.8,"Spa, Breakfast, Airport Shuttle, Pool, Conference Hall"
Hyatt Heights Bengaluru,Bengaluru,4563,4.8,"Airport Shuttle, Conference Hall, Pool, Wifi"
Fortune Grand Mumbai,Mumbai,1478,4.6,"Gym, Bar, Airport Shuttle, Spa, Pool"
Holiday Inn Residency Mumbai,Mumbai,5841,3.5,"Parking, Airport Shuttle, Breakfast, Spa, Restaurant, Conference Hall, Bar"
JW Marriott Inn Delhi,Delhi,4545,5,"Restaurant, Wifi, Conference Hall, Parking"
Conrad Elite Kolkata,Kolkata,65656,3.6,"Gym, Pool, Conference Hall, Restaurant"
Novotel Grand Chennai,Chennai,7852,4.8,"Breakfast, Wifi, Pool, Spa, Restaurant"
Oberoi Elite Ahmedabad,Ahmedabad,4105,4.9,"Restaurant, Spa, Parking, Conference Hall, Pool"
Westin Resort Jaipur,Jaipur,9888,4.6,"Wifi, Airport Shuttle, Pool, Breakfast"
Fortune Elite Delhi,Delhi,7410,3.7,"Pool, Spa, Restaurant, Gym, Breakfast, Conference Hall"
Fortune Royal Bengaluru,Bengaluru,4512,4.5,"Conference Hall, Parking, Pool, Airport Shuttle"
Vivanta Grand Pune,Pune,4520,4.3,"Parking, Spa, Restaurant, Pool, Airport Shuttle, Gym"
Ramada Inn Jaipur,Jaipur,4536,4.9,"Pool, Bar, Parking, Wifi"
Taj Residency Hyderabad,Hyderabad,4536,5,"Airport Shuttle, Conference Hall, Bar, Parking, Wifi"
The Leela Residency Pune,Pune,4536,3.6,"Breakfast, Conference Hall, Gym, Spa, Pool, Wifi"
Westin Palace Hyderabad,Hyderabad,4536,4,"Pool, Restaurant, Bar, Parking, Conference Hall"
JW Marriott Residency Delhi,Delhi,4536,4.7,"Wifi, Gym, Restaurant, Bar, Spa, Pool, Conference Hall"
Hyatt Plaza Pune,Pune,9856,3.6,"Spa, Breakfast, Airport Shuttle, Gym, Bar, Pool, Parking"
Taj Plaza Delhi,Delhi,5785,3.9,"Parking, Restaurant, Bar, Conference Hall"
Fortune Palace Hyderabad,Hyderabad,6585,4.8,"Gym, Parking, Wifi, Airport Shuttle, Conference Hall, Spa"
Grand Hyatt Plaza Hyderabad,Hyderabad,7209.5,5,"Bar, Spa, Parking, Wifi"
Fairmont Elite Mumbai,Mumbai,7417.1,4.7,"Restaurant, Bar, Pool, Breakfast, Gym"
Shangri-La Grand Hyderabad,Hyderabad,7624.7,4.9,"Bar, Restaurant, Breakfast, Conference Hall, Gym, Parking"
JW Marriott Plaza Delhi,Delhi,7832.3,4.9,"Breakfast, Parking, Bar, Conference Hall, Wifi"
Westin Suites Bengaluru,Bengaluru,8039.9,4.7,"Airport Shuttle, Breakfast, Conference Hall, Restaurant, Pool, Parking"
Conrad Grand Goa,Goa,8247.5,4.3,"Pool, Spa, Parking, Breakfast, Bar, Restaurant"
Taj Suites Mumbai,Mumbai,8455.1,4.4,"Airport Shuttle, Bar, Spa, Restaurant"
Holiday Inn Plaza Jaipur,Jaipur,8662.7,3.7,"Pool, Bar, Spa, Breakfast"
Ramada Palace Jaipur,Jaipur,8870.3,3.9,"Airport Shuttle, Gym, Breakfast, Restaurant"
Ramada Royal Kolkata,Kolkata,9077.9,4.9,"Breakfast, Conference Hall, Bar, Airport Shuttle, Parking, Spa, Pool"
Conrad Inn Jaipur,Jaipur,9285.5,3.9,"Conference Hall, Airport Shuttle, Spa, Gym, Breakfast, Wifi"
Westin Inn Delhi,Delhi,9493.1,4,"Gym, Breakfast, Spa, Airport Shuttle"
JW Marriott Grand Delhi,Delhi,9700.7,4.1,"Bar, Wifi, Spa, Breakfast, Airport Shuttle, Restaurant, Conference Hall"
Oberoi Heights Chennai,Chennai,9908.3,4.9,"Bar, Breakfast, Spa, Airport Shuttle, Pool, Gym"
Fairmont Palace Jaipur,Jaipur,10115.9,4,"Gym, Airport Shuttle, Breakfast, Parking, Bar, Wifi, Spa"
Oberoi Palace Ahmedabad,Ahmedabad,10323.5,4.5,"Airport Shuttle, Gym, Wifi, Conference Hall, Spa"
Trident Heights Delhi,Delhi,10531.1,4,"Parking, Bar, Breakfast, Conference Hall, Wifi, Spa, Restaurant"
Fortune Resort Mumbai,Mumbai,10738.7,4.5,"Wifi, Spa, Conference Hall, Bar"
Taj Residency Ahmedabad,Ahmedabad,10946.3,3.7,"Breakfast, Spa, Airport Shuttle, Restaurant"
Vivanta Residency Hyderabad,Hyderabad,11153.9,4.4,"Gym, Parking, Pool, Conference Hall"
Taj Royal Bengaluru,Bengaluru,11361.5,4.9,"Bar, Spa, Pool, Parking, Restaurant, Airport Shuttle, Wifi"
Westin Grand Ahmedabad,Ahmedabad,11569.1,5,"Restaurant, Conference Hall, Bar, Breakfast"
