Hotel_Name,Review,review_sentiments
ITC Plaza Chennai,Rooms were dirty and staff was rude.,Negative
The Leela Inn Mumbai,Very disappointing experience.,Negative
Vivanta Suites Goa,Wonderful stay with friendly staff.,Positive
The Leela Inn Mumbai,Comfortable rooms and great location.,Positive
Fortune Resort Delhi,Wonderful stay with friendly staff.,Positive
Fortune Resort Delhi,Comfortable rooms and great location.,Positive
ITC Plaza Chennai,Amazing hospitality and delicious breakfast.,Positive
Fortune Resort Delhi,Food quality was bad and rooms were noisy.,Negative
Fortune Resort Delhi,Average experience overall.,Neutral
ITC Plaza Chennai,Wonderful stay with friendly staff.,Positive
Fortune Resort Delhi,Decent hotel for a short stay.,Neutral
ITC Plaza Chennai,Excellent service and clean rooms.,Positive
ITC Plaza Chennai,Stay was average and facilities were okay.,Neutral
Vivanta Royal Pune,Average experience overall.,Neutral
Trident Grand Pune,Service was acceptable but nothing special.,Neutral
Westin Suites Pune,Excellent service and clean rooms.,Positive
Fortune Resort Delhi,Wonderful stay with friendly staff.,Positive
The Leela Inn Mumbai,Rooms were dirty and staff was rude.,Negative
Vivanta Suites Goa,Amazing hospitality and delicious breakfast.,Positive
Taj Suites Pune,Stay was average and facilities were okay.,Neutral
Trident Grand Pune,Amazing hospitality and delicious breakfast.,Positive
Vivanta Royal Pune,Amazing hospitality and delicious breakfast.,Positive
Taj Suites Pune,Stay was average and facilities were okay.,Neutral
The Leela Inn Mumbai,Poor maintenance and slow service.,Negative
ITC Plaza Chennai,Excellent service and clean rooms.,Positive
Fortune Resort Delhi,Excellent service and clean rooms.,Positive
Vivanta Suites Goa,Very disappointing experience.,Negative
Taj Suites Pune,Service was acceptable but nothing special.,Neutral
ITC Plaza Chennai,Poor maintenance and slow service.,Negative
Vivanta Suites Goa,Comfortable rooms and great location.,Positive
Vivanta Royal Pune,Comfortable rooms and great location.,Positive
Vivanta Suites Goa,Very disappointing experience.,Negative
ITC Plaza Chennai,Very disappointing experience.,Negative
Vivanta Suites Goa,Stay was average and facilities were okay.,Neutral
Fortune Resort Delhi,Amazing hospitality and delicious breakfast.,Positive
